2026-08-29 00:43:36 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-08-29 00:47:36 *CRITICAL*   Injection initiated. Mode: 0, process type: 2, pid: 0, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-08-29 00:47:36 *NORMAL*     Waiting on process D:\GTAV\GTA5.exe
2026-08-29 00:48:31 *VERBOSE*    Got process 16436
2026-08-29 00:48:31 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'

2026-08-29 01:15:21 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225

2026-08-29 01:16:51 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225

2026-08-29 01:37:32 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225

2026-08-29 01:38:18 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-08-29 01:38:27 *CRITICAL*   Injection initiated. Mode: 0, process type: 2, pid: 0, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-08-29 01:38:27 *NORMAL*     Waiting on process D:\GTAV\GTA5.exe
2026-08-29 01:39:17 *VERBOSE*    Got process 18320
2026-08-29 01:39:18 *CRITICAL*   Injecting image 'D:\yimv1\YimMenuV2.dll'
2026-08-29 01:53:01 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225


2026-08-29 03:33:56 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-08-29 03:33:59 *CRITICAL*   Injection initiated. Mode: 0, process type: 2, pid: 0, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-08-29 03:33:59 *NORMAL*     Waiting on process D:\GTAV\GTA5.exe
2026-08-29 03:34:23 *VERBOSE*    Got process 18128
2026-08-29 03:34:23 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'
2026-08-29 03:37:16 *CRITICAL*   Injection initiated. Mode: 0, process type: 2, pid: 0, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-08-29 03:37:16 *NORMAL*     Waiting on process D:\GTAV\GTA5.exe
2026-08-29 03:37:22 *WARNING*    Process wait canceled by user
2026-08-29 03:38:52 *CRITICAL*   Injection initiated. Mode: 0, process type: 2, pid: 0, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-08-29 03:38:52 *NORMAL*     Waiting on process D:\GTAV\GTA5.exe
2026-08-29 03:39:30 *WARNING*    Process wait canceled by user
2026-08-29 03:39:32 *CRITICAL*   Injection initiated. Mode: 0, process type: 2, pid: 0, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-08-29 03:39:32 *NORMAL*     Waiting on process D:\GTAV\GTA5.exe
2026-08-29 03:39:39 *WARNING*    Process wait canceled by user
2026-08-29 03:39:40 *CRITICAL*   Injection initiated. Mode: 0, process type: 2, pid: 0, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-08-29 03:39:40 *NORMAL*     Waiting on process D:\GTAV\GTA5.exe
2026-08-29 03:39:49 *WARNING*    Process wait canceled by user

2026-08-29 03:42:04 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-08-29 03:42:07 *CRITICAL*   Injection initiated. Mode: 0, process type: 2, pid: 0, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-08-29 03:42:07 *NORMAL*     Waiting on process D:\GTAV\GTA5.exe
2026-08-29 03:42:09 *VERBOSE*    Got process 35788
2026-08-29 03:42:09 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'
2026-08-29 03:42:59 *CRITICAL*   Injection initiated. Mode: 0, process type: 2, pid: 0, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-08-29 03:42:59 *NORMAL*     Waiting on process D:\GTAV\GTA5.exe
2026-08-29 03:42:59 *VERBOSE*    Got process 35788
2026-08-29 03:42:59 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'
2026-08-29 03:42:59 *ERROR*      Failed to inject image using default injection, status: 0xC000010E
2026-08-29 03:42:59 *ERROR*      Failed to inject image 'D:\yimv1\YimMenu.dll'.
Error code 0xC000010E

2026-08-29 03:47:43 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-08-29 03:47:50 *CRITICAL*   Injection initiated. Mode: 0, process type: 2, pid: 0, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-08-29 03:47:50 *NORMAL*     Waiting on process D:\GTAV\GTA5.exe
2026-08-29 03:48:45 *WARNING*    Process wait canceled by user
2026-08-29 03:49:13 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13112, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-08-29 03:49:13 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'

2026-08-29 05:12:18 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
2026-08-29 05:18:56 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 10736, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-08-29 05:18:56 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'
2026-08-29 05:54:57 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 26464, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2026-08-29 05:54:57 *CRITICAL*   Injecting image 'D:\yimv1\YimMenu.dll'

2026-08-29 08:12:15 *NORMAL*     Started on Windows 10.0.0.26200 x64. Driver status: 0xC0000225
